year,state,crop,land_area,yield
2015,Adamawa,onion,33.8,3.52
2015,Akwa-Ibom,onion,,
2015,Anambra,onion,,
2015,Bauchi,onion,36.3,3.02
2015,Bayelsa,onion,,
2015,Benue,onion,18.48,2.72
2015,Borno,onion,26,1.48
2015,Cross River,onion,,
2015,Delta,onion,,
2015,Ebonyi,onion,,
2015,Edo,onion,,
2015,Ekiti,onion,,
2015,Enugu,onion,,
2015,Fct,onion,,
2015,Gombe,onion,38.95,3.24
2015,Imo,onion,,
2015,Jigawa,onion,42.07,0.89
2015,Kaduna,onion,24.38,2.11
2015,Kano,onion,56.31,1.7
2015,Katsina,onion,47.86,1.25
2015,Kebbi,onion,39.71,2.67
2015,Kogi,onion,,
2015,Kwara,onion,,
2015,Lagos,onion,23.08,0.97
2015,Nasarawa,onion,,
2015,Niger,onion,,
2015,Ogun,onion,,
2015,Ondo,onion,,
2015,Osun,onion,,
2015,Oyo,onion,,
2015,Plateau,onion,24.8,1.2
2015,Rivers,onion,,
2015,Sokoto,onion,38.42,3.02
2015,Taraba,onion,13.56,4.82
2015,Yobe,onion,47,1.91
2015,Zamfara,onion,20.25,4.72
2015,Abia,tomatoe,4.8,3.26
2015,Adamawa,tomatoe,26.91,8.7
2015,Akwa-Ibom,tomatoe,,
2015,Anambra,tomatoe,5.14,2.54
2015,Bauchi,tomatoe,26.08,7.9
2015,Bayelsa,tomatoe,,
2015,Benue,tomatoe,13.13,10.37
2015,Borno,tomatoe,11.65,9.29
2015,Cross River,tomatoe,,
2015,Delta,tomatoe,6.6,3.91
2015,Ebonyi,tomatoe,3.1,9.09
2015,Edo,tomatoe,9,2.66
2015,Ekiti,tomatoe,2.15,11.06
2015,Enugu,tomatoe,8.56,1.69
2015,Fct,tomatoe,19.72,6.24
2015,Gombe,tomatoe,27.39,13.86
2015,Imo,tomatoe,1.34,12.12
2015,Jigawa,tomatoe,26.36,5.67
2015,Kaduna,tomatoe,25.83,13.97
2015,Kano,tomatoe,30.06,11.98
2015,Katsina,tomatoe,40.43,2.56
2015,Kebbi,tomatoe,45.78,5.8
2015,Kogi,tomatoe,16.45,8.51
2015,Kwara,tomatoe,20.63,5.5
2015,Lagos,tomatoe,3.92,9.32
2015,Nasarawa,tomatoe,18.61,4.99
2015,Niger,tomatoe,14.41,13.08
2015,Ogun,tomatoe,8.48,5.32
2015,Ondo,tomatoe,3.6,1.66
2015,Osun,tomatoe,9.8,3.35
2015,Oyo,tomatoe,5.52,6.22
2015,Plateau,tomatoe,16.01,6.23
2015,Rivers,tomatoe,,
2015,Sokoto,tomatoe,22.98,13.01
2015,Taraba,tomatoe,28.57,8.9
2015,Yobe,tomatoe,13.63,10.43
2015,Zamfara,tomatoe,23.89,6.57
2016,Abia,sorghum,,
2016,Adamawa,sorghum,225.88,1.27
2016,Akwa-Ibom,sorghum,,
2016,Anambra,sorghum,,
2016,Bauchi,sorghum,332.28,1.13
2016,Bayelsa,sorghum,,
2016,Benue,sorghum,120.38,1.3
2016,Borno,sorghum,323.37,0.99
2016,Cross River,sorghum,,
2016,Delta,sorghum,,
2016,Ebonyi,sorghum,,
2016,Edo,sorghum,,
2016,Ekiti,sorghum,,
2016,Enugu,sorghum,11.82,1.1
2016,Fct,sorghum,98.05,1.29
2016,Gombe,sorghum,299,1.02
2016,Imo,sorghum,,
2016,Jigawa,sorghum,289.4,1.2
2016,Kaduna,sorghum,401.65,0.98
2016,Kano,sorghum,560.08,1.33
2016,Katsina,sorghum,291.59,1.25
2016,Kebbi,sorghum,310.35,1.2
2016,Kogi,sorghum,91.76,1.3
2016,Kwara,sorghum,92.86,1.38
2016,Lagos,sorghum,,
2016,Nasarawa,sorghum,126.11,1.2
2016,Niger,sorghum,367.67,1.4
2016,Ogun,sorghum,12.73,1.1
2016,Ondo,sorghum,10,1.2
2016,Osun,sorghum,,
2016,Oyo,sorghum,47.5,1.2
2016,Plateau,sorghum,197.51,1.47
2016,Rivers,sorghum,,
2016,Sokoto,sorghum,275.21,1.06
2016,Taraba,sorghum,301.39,1.04
2016,Yobe,sorghum,250.89,1.04
2016,Zamfara,sorghum,434.54,1.26
2016,Abia,maize,68.42,1.89
2016,Adamawa,maize,249.01,1.87
2016,Akwa-Ibom,maize,60.9,1.56
2016,Anambra,maize,45.27,1.78
2016,Bauchi,maize,271.99,1.67
2016,Bayelsa,maize,41.74,1.72
2016,Benue,maize,120.78,2.53
2016,Borno,maize,358.78,1.53
2016,Cross River,maize,51.61,1.84
2016,Delta,maize,88.33,1.85
2016,Ebonyi,maize,62.19,1.92
2016,Edo,maize,83.18,1.69
2016,Ekiti,maize,139.27,1.75
2016,Enugu,maize,79.73,1.79
2016,Fct,maize,172.36,2.33
2016,Gombe,maize,305.4,1.73
2016,Imo,maize,58.91,1.67
2016,Jigawa,maize,166.18,1.73
2016,Kaduna,maize,315.79,2.52
2016,Kano,maize,120.71,2.38
2016,Katsina,maize,156.21,1.87
2016,Kebbi,maize,161.27,1.8
2016,Kogi,maize,153.28,2.39
2016,Kwara,maize,137.13,2.02
2016,Lagos,maize,126.56,1.74
2016,Nasarawa,maize,101.84,2.49
2016,Niger,maize,240.72,2.5
2016,Ogun,maize,121.66,2.11
2016,Ondo,maize,126.36,1.95
2016,Osun,maize,155.16,2.04
2016,Oyo,maize,119.47,2.04
2016,Plateau,maize,227.46,2.47
2016,Rivers,maize,49.16,2.03
2016,Sokoto,maize,83.71,1.56
